Tileset_Name "Charlie_Falling"
    Frame_CollisionBlock_SizeY "16"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "272"
    Frame_CollisionBlock_TopLeftY "-140"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "4"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "480"
    Frame_CollisionBlock_TopLeftY "-180"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "16"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "440"
    Frame_CollisionBlock_TopLeftY "-140"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "5"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "616"
    Frame_CollisionBlock_TopLeftY "-196"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "16"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "608"
    Frame_CollisionBlock_TopLeftY "-156"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "16"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "6"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "724"
    Frame_CollisionBlock_TopLeftY "-220"
    Frame_CollisionBlock_SizeX "15"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "716"
    Frame_CollisionBlock_TopLeftY "-224"
    Frame_CollisionBlock_SizeX "16"
    Frame_CollisionBlock_SizeY "8"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "7"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "824"
    Frame_CollisionBlock_TopLeftY "-232"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "820"
    Frame_CollisionBlock_TopLeftY "-228"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
  SubSet_Name "Falling"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-256"
  SubSet_SizeX "2048"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "4"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "8"
    Frame_CollisionBlock_TopLeftY "-340"
    Frame_CollisionBlock_SizeX "8"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "12"
    Frame_CollisionBlock_TopLeftY "-356"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "2"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "136"
    Frame_CollisionBlock_TopLeftY "-332"
    Frame_CollisionBlock_SizeX "8"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "140"
    Frame_CollisionBlock_TopLeftY "-352"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "3"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "264"
    Frame_CollisionBlock_TopLeftY "-336"
    Frame_CollisionBlock_SizeX "8"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "268"
    Frame_CollisionBlock_TopLeftY "-352"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_ID "4"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "392"
    Frame_CollisionBlock_TopLeftY "-336"
    Frame_CollisionBlock_SizeX "8"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "396"
    Frame_CollisionBlock_TopLeftY "-348"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
  SubSet_Name "Falling_To_Death"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-384"
  SubSet_SizeX "2048"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "3"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "N"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Body"
    Frame_CollisionBlock_TopLeftX "16"
    Frame_CollisionBlock_TopLeftY "-456"
    Frame_CollisionBlock_SizeX "100"
    Frame_CollisionBlock_SizeY "36"
    Frame_CollisionBlock_Contact "Y"
    Frame_ID "2"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Body"
    Frame_CollisionBlock_TopLeftX "144"
    Frame_CollisionBlock_TopLeftY "-472"
    Frame_CollisionBlock_SizeX "100"
    Frame_CollisionBlock_SizeY "20"
    Frame_CollisionBlock_Contact "Y"
    Frame_ID "3"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Body"
    Frame_CollisionBlock_TopLeftX "272"
    Frame_CollisionBlock_TopLeftY "-472"
    Frame_CollisionBlock_SizeX "100"
    Frame_CollisionBlock_SizeY "20"
    Frame_CollisionBlock_Contact "Y"
  SubSet_Name "Falling_To_Standing"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-512"
  SubSet_SizeX "2048"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "1"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "2"
    Frame_CollisionBlock_ID "Right_Foot"
    Frame_CollisionBlock_TopLeftX "48"
    Frame_CollisionBlock_TopLeftY "-612"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
    Frame_CollisionBlock_ID "Left_Foot"
    Frame_CollisionBlock_TopLeftX "44"
    Frame_CollisionBlock_TopLeftY "-608"
    Frame_CollisionBlock_SizeX "12"
    Frame_CollisionBlock_SizeY "12"
    Frame_CollisionBlock_Contact "N"
  SubSet_Name "Death"
  SubSet_Type "Animation"
  SubSet_TopLeftX "0"
  SubSet_TopLeftY "-640"
  SubSet_SizeX "2048"
  SubSet_SizeY "128"
  SubSet_Tile_SizeX "128"
  SubSet_Tile_SizeY "128"
  SubSet_NumOfFrames "1"
  SubSet_FramesPerSecond "24"
  SubSet_Repeating "Y"
    Frame_ID "1"
    Frame_CollisionBlock_NumOfBlocks "1"
    Frame_CollisionBlock_ID "Body"
    Frame_CollisionBlock_TopLeftX "15"
    Frame_CollisionBlock_TopLeftY "-732"
    Frame_CollisionBlock_SizeX "100"
    Frame_CollisionBlock_SizeY "20"
    Frame_CollisionBlock_Contact "Y"
